,Rank,Company,Location,Year end,Annual sales rise over 3 years,Latest sales £000s,Staff,Comment
0,1,Plan.comCommunications provider,Isle of Man,Sep-17,364.38%,"*35,418",90,"About 650 partners use its telecoms platform to support more than 100,000 UK business customers"
1,2,PsiOxusBiotechnology developer,Oxfordshire,Dec-17,311.67%,53136,54,Received a $15m milestone payment from its development partner Bristol-Myers Squibb in December
2,3,CensorNetCloud security software developer,Basingstoke,Dec-17,210.17%,"*7,535",77,"Has more than 4,000 customers, including McDonald’s in France and the European Central Bank"
3,4,thoughtonomyAutomation software developer,East London,May-18,205.20%,"*16,916",100,It sells to 28 countries and 50% of revenue is generated from overseas
4,5,PerkboxEmployee engagement services,Central London,Dec-17,204.12%,"*34,700",200,Acquired software platform Loyalty Bay for an undisclosed sum in November
5,6,OguryMobile data marketing,North London,Dec-17,204.09%,33760,133,It has access to data from more than 400m mobile phone users in 120 countries
6,7,VerveMarketing software developer,Central London,Dec-17,202.15%,"*10,747",130,"Its network of 25,000 ‘micro-influencers’ have sold half a million event tickets since 2014"
7,8,goHenryChildren's pre-paid card developer,Central London,Dec-17,200.87%,"*6,116",61,The company is named after the first child to make a transaction with one of its cards
8,9,DarktraceCybersecurity developer,Cambridge,Jun-18,195.51%,"*58,573",694,Was reportedly valued at $1.25bn in April when Vitruvian Partners bought a small stake
9,10,BizumaB2B e-commerce platform,Central London,Mar-18,181.75%,"*9,608",48,Originally founded as a flash sales website before changing direction in 2014
10,11,DepopSocial shopping app,Central London,Dec-17,175.70%,"*94,300",95,More than 10m people use its platform to buy and sell vintage clothing
11,12,Laser Wire SolutionsLaser wire-stripping machinery,Pontypridd,Dec-17,173.41%,"*5,114",26,Swiss technology group Schleuniger took a 20% stake in 2016
12,13,Bought By ManySpecialist insurance platform,Central London,Mar-18,170.20%,"*19,727",78,Launched its own travel insurance policy for people with severe medical conditions in December
13,14,OptalPayment services provider,Central London,Dec-17,169.29%,177653,65,Uses the Mastercard processing network to facilitate payments in 34 currencies
14,15,InfinoxCurrency trading platform,Central London,Mar-18,155.18%,"*41,700",48,Provides users with an AI-generated news feed that could affect currency trades
15,16,OakbrookConsumer finance provider,Nottingham,Dec-17,154.54%,"*40,400",98,Uses machine learning to help estimate borrowers’ credit risk
16,17,CarwowCar sales platform,Central London,Dec-17,147.21%,"*15,276",127,Claims its car review videos have more viewers than the hit BBC series Top Gear
17,18,Receipt BankBook-keeping automation services,Central London,Dec-17,146.07%,"*11,667",341,"Says 150,000 businesses in America, Europe and Australia use its book-keeping software"
18,19,dB BroadcastBroadcast technology provider,Cambridgeshire,Sep-17,143.58%,34943,50,"Its key customers include Sky, YouTube, Bloomberg and the BBC"
19,20,The Car Buying GroupCar sales platform,Wakefield,Mar-18,140.89%,"*39,140",31,Runs a free nationwide doorstep vehicle collection service
20,21,FesticketFestival booking platform,Central London,Dec-17,139.86%,35839,88,"Sells tickets and packages to more than 1,000 festivals worldwide"
21,22,PlanixsSoftware developer,Manchester,Mar-17,133.70%,"*7,240",67,More than £200bn worth of transactions have been analysed using its systems
22,23,GigaclearInternet services provider,Oxfordshire,Dec-17,130.17%,7402,210,"Has connected more than 16,000 rural customers to broadband in 22 counties"
23,24,TransferWiseCurrency transfer provider,East London,Mar-18,129.39%,"*117,283",1000,"Was valued at $1.6bn in November after it raised $280m, taking its funding total to $396m"
24,25,PatSnapR&D data platform,West London,Dec-17,126.18%,"*17,977",752,Has raised more than $100m from investors including Sequoia and Shunwei Capital
25,26,HyperopticInternet services provider,West London,Dec-17,119.90%,16572,411,Aims to provide superfast broadband to more than 2m homes by 2022
26,27,GoCardlessPayment services provider,Central London,Dec-17,112.99%,"*11,896",165,"International expansion plans include targeting Australia, New Zealand, Canada and the US"
27,28,PurpleWifi services provider,Oldham,Jan-18,112.88%,"*5,586",93,"Its technology is used in every public airport in Spain and in a 21,000-capacity stadium in Miami"
28,29,Trustpay GlobalOnline payment provider,Guildford,Mar-18,110.45%,"*9,796",25,The Premier Lotto in Nigeria uses the company’s platform to prevent money laundering
29,30,iwocaBusiness finance provider,Central London,Dec-17,109.27%,"*25,000",200,Its 140 employees include three former Olympians
30,31,LADBible GroupOnline entertainment community,Manchester,Dec-17,108.91%,"*15,500",133,Claims its flagship brand reaches more than half of all millennials in the UK every month
31,32,Threads StylingOnline fashion services,East London,Dec-17,107.88%,"*12,672",55,Some three-quarters of its sales are to fashionistas in the Middle East
32,33,Prodigy FinanceStudent finance provider,Central London,Dec-17,105.94%,"*10,273",133,"More than 10,000 students have used its platform to fund their postgraduate studies"
33,34,AzimoOnline money transfers,Central London,Jun-17,103.79%,5870,115,Recently launched its international money transfer service for businesses
34,35,ChameleonSmart energy monitoring,Harrogate,Dec-17,101.10%,19890,32,About 2.5m of its energy display units have been installed in UK homes
35,36,SuperAwesomeChildren's privacy protection,Central London,Dec-17,97.91%,"*14,935",130,"Last month it signed a deal with Pokémon Go, allowing parents to manage their child’s privacy settings"
36,37,GoustoMeal kit delivery services,West London,Dec-17,97.32%,"*23,300",400,Aims to provide the ingredients for 400m meals in UK homes by 2025
37,38,VizolutionBusiness software developer,Swansea,Dec-17,94.99%,"*6,965",118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
38,39,MoveGBActivity membership,Bath,Dec-17,94.93%,"*5,029",41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
39,40,BBOXXSolar system manufacturer,West London,Dec-17,93.35%,"*20,416",443,Has raised almost $70m in venture funding and debt financing
40,41,Funding CirclePeer-to-peer lending platform,Central London,Dec-17,93.21%,"*94,500",790,Is planning an IPO in London this autumn that will value it at more than £1.5bn
41,42,LoopMeAdvertising technology developer,Central London,Dec-17,93.04%,24493,91,Says its AI technology reaches 2bn devices around the world
42,43,KanoEducational computer developer,East London,Dec-17,91.81%,"*13,000",60,Has customers in 150 countries and aims to have 100m global users by 2020
43,44,Capital on TapBusiness finance provider,West London,Mar-18,88.73%,17318,56,"This company’s founders also set up Paymentsense, No 91 in the league table"
44,45,HutchVideo games developer,Central London,Sep-17,88.63%,"*8,766 (2017)",51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
45,46,ENSEKEnergy software developer,Nottingham,Mar-18,87.56%,"*6,161",110,A fifth of the UK’s energy suppliers are said to use this company’s software
46,47,MiQDigital marketing agency,Central London,Dec-17,87.36%,"*155,876",561,"Relocated its New York base in April, tripling its office space"
47,48,StarLeafVideo conferencing platform,Watford,Dec-17,86.89%,11427,133,Its founders set up the Tech Track 100 alumnus Codian and sold it for $270m in 2007
48,49,BigChangeManagement software developer,Leeds,Dec-17,86.45%,"*6,566",41,Last year its technology saved 15m sheets of paper and facilitated 9m tasks
49,50,The Lead AgencyLead generation developer,Liverpool,Dec-17,80.38%,"†6,383",96,Works with every large automotive brand in the UK
50,51,UNiDAYSStudent verification services,Nottingham,Apr-18,80.03%,"*27,400",210,Connects brands with 10m students in 114 countries
51,52,FarfetchOnline fashion platform,East London,Dec-17,78.31%,"*299,812",2700,Has announced plans to float in the US with a reported $5bn valuation
52,53,Assetz CapitalPeer-to-peer lending platform,Manchester,Mar-18,77.91%,"*13,700",98,"Has funded the construction of 1,800 new homes since 2013"
53,54,iPulseHair removal technology,Swansea,Dec-17,77.12%,"*32,874",39,Almost 95% of its hair removal devices are sold overseas
54,55,GiacomCloud services provider,Hull,Jul-17,76.14%,13883,49,"It now reaches more than 500,000 end users across the UK"
55,56,Arcus GlobalCloud IT developer,Cambridge,Jun-17,75.57%,"*9,681",110,"In May it secured a £3m investment from the private equity firm YFM, valuing it at £27m"
56,57,disguiseLive event technology provider,Central London,Dec-17,75.46%,"*17,971",59,Customers include the likes of Disney and Universal Studios
57,58,Tech21Device impact protection maker,Southwest London,May-17,75.34%,121576,81,Became an inaugural member of Google’s certified accessories programme last year
58,59,VictorOnline private jet hire,Central London,Dec-17,74.13%,"*41,508",113,Counts Sir Elton John among its investors
59,60,CinesiteVisual effects and animation,Central London,Apr-17,74.11%,43888,699,Is producing visual effects for Mary Poppins Returns and the Marvel franchise
60,61,Biosite SystemsWorkforce management software,Solihull,Jul-17,74.04%,"*6,401",117,"More than 200,000 of the UK’s construction workers are registered on its systems"
61,62,EcometricaEnvironmental reporting software,Edinburgh,Mar-18,71.67%,5496,40,Helps 250 companies on five continents to manage their environmental impacts
62,63,Qualasept PharmaxoPharmaceuticals manufacturer,Wiltshire,Apr-17,70.89%,152744,156,Its manufacturing facility and offices have a zero carbon footprint
63,64,EdesixBody camera manufacturer,Edinburgh,Dec-17,70.52%,"*5,900",47,Founders Richie McBride and Robin Iddon competed on the TV show Robot Wars
64,65,LendInvestProperty finance provider,Central London,Mar-18,70.13%,35617,128,Has facilitated more than £1.4bn of property loans
65,66,E3D Online3D printer developer,Oxfordshire,Apr-18,69.08%,"*5,800",41,Has grown its exports to account for 75% of its total sales
66,67,LystFashion search platform,East London,Mar-18,68.34%,"*15,300",100,"LVMH, the owner of Christian Dior and Louis Vuitton, invested an undisclosed amount in May"
67,68,DiaceuticsMedtech research provider,Belfast,Dec-17,67.80%,"*7,390",57,Works with 31 of the top 35 pharmaceutical companies in the world
68,69,AmplienceDigital media technology,Central London,Jun-17,66.25%,"*8,147",85,Helps retailers such as Argos and Mulberry to create and manage online content
69,70,GlucoRxDiabetes product manufacturer,Woking,Mar-17,65.52%,24885,26,Claims to have saved the NHS £150m in the past three years
70,71,Love Energy SavingsPrice comparison website,Bolton,Dec-17,64.26%,17361,183,"Has helped 145,000 UK homes and businesses save on energy costs since 2007"
71,72,Creative VirtualChatbot developer,East London,Dec-17,63.30%,"*8,400",99,Its trademarked chatbot can be used through Facebook Messenger and Amazon Alexa
72,73,EburyBusiness finance provider,Central London,Apr-18,62.77%,"*47,000",628,Has traded £12.5bn in foreign exchange in 140 different currencies
73,74,ZappiStoreResearch services provider,Central London,Dec-17,61.62%,19323,128,Holds weekly hackathons with its clients and programmers
74,75,BlisLocation data technology,Central London,Dec-17,61.28%,"*33,400",186,Analyses more than 5.5bn data points each day
75,76,BookingBugBooking systems developer,Central London,Mar-18,60.61%,"*6,937",117,Raised nearly £10m in April from backers including PeakSpan Capital and Downing Ventures
76,77,EgressData security provider,Central London,Dec-17,60.22%,9403,115,Users of its platform can revoke access to emails after they have reached the recipient’s inbox
77,78,Contis GroupPayment services provider,North Yorkshire,Mar-17,59.56%,7161,86,Appointed the former European boss of American Express to drive sales on the continent
78,79,PM ConnectMobile content provider,Birmingham,Feb-18,59.44%,"*19,317",35,Its clients include World Wrestling Entertainment and the NBA
79,80,ZopaPeer-to-peer lending platform,South London,Dec-17,59.43%,"*46,500",312,About £3.5bn has been advanced through its platform
80,81,WorldRemitOnline money transfers,Central London,Dec-17,59.07%,"*61,000",440,Has raised $220m since 2010 to expand its online money transfer service
81,82,DianomiFinancial content marketing,Central London,Dec-17,58.99%,"*12,861",25,Works with eight of the top 10 global asset managers
82,83,LiberisCash advance provider,West London,Dec-17,57.99%,"*15,150",75,Received £57.5m in funding in April from investors including Blenheim Chalcot
83,84,CurrencycloudPayment services provider,East London,Dec-17,57.48%,"*13,600",140,Has 250 clients and 2m end users across the world
84,85,FeaturespaceAnalytics software developer,Cambridge,Dec-17,57.48%,"*5,170",113,"Is recruiting for more than 100 positions this year, following customer demand in UK and US"
85,86,Cloud Technology SolutionsCloud IT developer,Manchester,Mar-18,57.21%,"*21,902",102,"Its software has moved nearly 12,000 companies in 20 countries onto Google Apps"
86,87,Leisure Pass GroupTourism smartcard developer,Central London,Dec-17,57.16%,"†225,803",105,Has partnered with the booking platform Ctrip to target Chinese tourists visiting Europe
87,88,rradarLegal digital services,Hull,Dec-17,57.03%,"*5,083",125,Uses machine learning and AI to provide legal advice to customers
88,89,Converge TSCloud services provider,Cheshire,Dec-17,55.00%,"*5,802",38,Focused solely on the legal sector after its first three clients were all law firms
89,90,Kimble ApplicationsSoftware developer,Central London,Dec-17,54.67%,"*9,153",78,"More than half of its new business is in the US, where it has offices in Boston and Park City"
90,91,PaymentsensePayment services provider,West London,Mar-18,53.54%,"*72,400",243,Processed more than £6.5bn of card payments last year in the UK and Ireland
91,92,Godel TechnologiesSoftware developer,Manchester,Dec-17,53.01%,"*13,853",637,Is named after the late German mathematician Kurt Gödel
92,93,Secret EscapesOnline travel services,Central London,Dec-17,52.99%,"*73,000",850,Has raised £132m from investors including Google Ventures
93,94,NeuvenHR software developer,Manchester,Jul-17,52.23%,130071,28,Appearing on Tech Track 100 for a fourth consecutive year
94,95,CitNOWVideo software developer,Wokingham,Dec-17,51.85%,"*11,611",71,"Has more than 8,000 installations in franchised car dealerships in 45 countries"
95,96,geoSmart energy monitoring,Cambridge,Mar-18,51.24%,"*29,406",85,"Customers in Norway, Sweden and Luxembourg use its smart energy monitoring devices"
96,97,Vision RTMedical technology developer,North London,Jul-17,50.99%,32468,132,Has secured 60 patents and has another 46 pending
97,98,ThreadOnline fashion services,Central London,Dec-17,50.77%,"*6,492",60,"More than 800,000 men subscribe to its free personal styling service"
98,99,The Media ImageDigital marketing agency,South London,Feb-18,50.38%,"*27,515",37,Founded by the man who was Google UK’s first recruit when it launched its AdWords service in 2002
99,100,Brompton TechnologyVideo technology provider,West London,Aug-17,50.17%,"*5,250",27,Its technology is used in high-profile events such as the Oscars
